Sample	fws	bin_0	bin_1	bin_2	bin_3	bin_4	bin_5	bin_6	bin_7	bin_8	bin_9
VVX02327	0.99710655	3.7266936e-06	0.00097136694	0.0023710395	0.0036262763	0.004197135	0.0003089178	0.0	0.00034511663	0.00033128113	0.00049310375
VVX02328	0.99750715	2.127506e-06	0.0009828977	0.001994671	0.003992849	0.0036382738	0.0	0.0	0.0	0.00030812272	0.00036067754
VVX02331	0.99663377	6.9070907e-06	0.0012646506	0.002386262	0.0044496576	0.0039728656	0.00022329355	0.0004251056	0.0006126733	0.0003348539	0.0007853738
VVX02332	0.9939258	1.8879766e-05	0.0015557163	0.0032709194	0.004886855	0.0053147413	0.0021189677	0.0013353986	0.0009943189	0.0019473303	0.002076745
VVX02333	0.99757344	2.2034455e-06	0.0010182402	0.0020898469	0.0039327005	0.003663406	0.0	0.0	0.0	0.00024934928	0.0002088666
VVX02334	0.9963595	5.018986e-06	0.0011238697	0.0023716642	0.0037476753	0.0038013733	0.0011043173	0.00046602328	0.0010695233	0.0010286185	0.00023238503
VVX02335	0.9968519	3.3691624e-06	0.0011322508	0.0022132641	0.003341675	0.0034584117	0.00078121637	0.0001775009	0.0008233107	0.00040603423	0.0008166729
VVX02336	0.99631095	5.650485e-06	0.0012616091	0.0025248243	0.0043557044	0.00432222	0.000875508	0.00042648986	0.0008214273	0.00020884625	0.0007995221
VVX02337	0.990118	8.825013e-05	0.0011034283	0.0027847898	0.0053426367	0.006703783	0.004185007	0.0035684144	0.004721689	0.0024495225	0.0036814236
VVX02343	0.9955918	0.0002246297	0.0004268858	0.0012883283	0.0013690118	0.00061493966	0.0011292697	0.0030126548	0.002593863	0.0011520112	0.0026888656
VVX02346	0.9993131	5.6858253e-06	5.211582e-05	0.00026821616	0.0007758616	0.0	0.00021265207	0.0	0.0011462943	0.0	0.0
VVX04272	0.78626305	0.0008117435	0.02808855	0.047900535	0.06039978	0.06953455	0.084918424	0.10162647	0.10343678	0.096862525	0.106327765
VVX04273	0.9993557	7.9992205e-06	0.0002671186	0.00044574452	0.000109639004	0.0	0.00010764338	9.74359e-05	0.00039807378	0.0	0.0008371331
VVX04274	0.9956823	2.4513469e-05	0.00065172755	0.001356207	0.0022910177	0.0028440272	0.0031795576	0.0006357928	0.0016623306	0.00077644404	0.0019769468
VVX04275	0.99530613	6.1823753e-06	0.001230948	0.0019636315	0.0022434883	0.0045470414	0.0030116348	0.0013930888	0.002519597	0.00025488323	0.00057715573
VVX04276	0.74060154	0.0010816052	0.034615558	0.056989044	0.07972323	0.08725688	0.10430176	0.10939753	0.12869368	0.12481308	0.124886215
VVX04277	0.99605834	9.167457e-06	0.0006704241	0.0015262081	0.002105977	0.0038357622	0.002421011	0.001125388	0.0023588263	0.0	0.00060026767
VVX04278	0.9989809	1.2745994e-05	0.000101450016	0.00045680124	0.00041691973	0.00013696848	0.00034328012	0.000107629	0.0009181704	0.00017744226	0.0007382215
VVX04279	0.7982517	0.0008872694	0.03062022	0.052593496	0.06738866	0.07498423	0.08322722	0.09227566	0.09242299	0.09032834	0.090367496
VVX04280	0.996026	5.855937e-06	0.0004952572	0.0015102375	0.0015767709	0.004116271	0.0032820976	0.0010220921	0.0018758608	0.00011777359	0.0005892902
VVX04281	0.9973712	5.0442395e-06	0.0006134016	0.00077962957	0.0016762199	0.0037200998	0.0026562924	0.00015840936	0.00070425903	0.0	0.0
VVX04282	0.98372823	6.9157926e-05	0.0026111943	0.0051955036	0.0062269317	0.008292119	0.007917638	0.005902583	0.008825998	0.00493262	0.0062333047
VVX04283	0.87433547	0.0005082063	0.019052919	0.03254731	0.041957542	0.04491669	0.05690744	0.052248303	0.053643342	0.06011624	0.058098383
VVX04285	0.9960622	1.0303974e-05	0.00087751687	0.0019247485	0.0018865177	0.004276312	0.0029259934	0.0009765625	0.0014734514	0.0	0.00074223557
VVX04286	0.99943113	3.601796e-06	0.00015172247	0.00026285768	0.00016777575	0.00013250268	0.0	0.00019971588	0.0010549584	0.0	0.0
